TEAM,CONF,G,W,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,POSTSEASON,SEED,Win PCT
Drexel,CAA,31,17,49.4,47.4,17.9,18,29.4,27.4,30.1,24.2,N/A,N/A,54.83870968
Florida Gulf Coast,ASun,31,17,51.2,50.7,17.1,17.3,26.6,28.8,28.2,28.1,N/A,N/A,54.83870968
Siena,MAAC,32,17,49.3,49.6,19.5,18.5,30.5,26.8,34.5,33,N/A,N/A,53.125
Murray St.,MVC,31,17,49,51.9,16.2,15.6,27.4,27.3,33.2,24.4,N/A,N/A,54.83870968
Fort Wayne,Horz,30,17,50.5,51.9,18.9,17.7,27.1,26.1,28.7,23,N/A,N/A,56.66666667
American,Pat,32,17,54.4,51.8,22,19.2,28.3,27.9,27.9,32.1,N/A,N/A,53.125
Seton Hall,BE,32,17,49,47.6,20.1,21.1,30.5,30,40.1,30.9,N/A,N/A,53.125
Long Beach St.,BW,31,17,48.4,49.8,18.7,18.2,34.6,28,34.4,30,N/A,N/A,54.83870968
Cal Baptist,WAC,31,17,49,47.6,18.1,16,28.9,26.1,31.6,29.3,N/A,N/A,54.83870968
Western Kentucky,CUSA,31,17,49.6,50.7,17.1,18,25.9,31,32.3,25.6,N/A,N/A,54.83870968
Georgia Southern,SB,30,17,48.2,49.5,16.3,18.3,25.8,27.3,27.9,34.6,N/A,N/A,56.66666667
Delaware,CAA,32,17,49.6,51.8,16.5,18.6,25,29.8,33,29.4,N/A,N/A,53.125
Wofford,SC,30,17,52.4,54.8,16.3,16.6,28.6,28.7,30,26.4,N/A,N/A,56.66666667
Army,Pat,31,17,53.8,51.4,19.1,15.6,25.4,24.2,31.3,28.5,N/A,N/A,54.83870968
Washington St.,P12,34,17,50.4,49.8,18.5,16.6,31.5,26.1,28.2,28.4,N/A,N/A,50
Villanova,BE,34,17,51.5,50.7,15.5,17.3,22.6,25.2,30,27.7,N/A,N/A,50
Tarleton St.,WAC,30,17,47.6,53.3,18.3,24.2,26,30,47.6,46.2,N/A,N/A,56.66666667
North Carolina Central,MEAC,26,18,50.9,48.9,22.6,21.6,32.3,29.6,34.2,35.5,N/A,N/A,69.23076923
Navy,Pat,30,18,51.5,50.4,17.3,19.5,29.9,28,23.7,30,N/A,N/A,60
Maryland Eastern Shore,MEAC,27,18,47.6,50.6,21.1,24.9,27.1,31.7,31.4,34.4,N/A,N/A,66.66666667
UC Davis,BW,30,18,49.8,50.7,20.6,20.8,32.2,28.6,42.8,31.5,N/A,N/A,60
UMBC,AE,31,18,51.3,52.9,14.8,16.9,26.4,26.8,27,25.6,N/A,N/A,58.06451613
Alcorn St.,SWAC,32,18,45.2,51.4,18.3,21,33.7,31.4,35.3,39.3,N/A,N/A,56.25
Southeastern Louisiana,Slnd,29,18,50.9,54.2,16.9,19.8,27.6,29.9,32.1,33.4,N/A,N/A,62.06896552
Tennessee St.,OVC,28,18,50.9,49.9,17.3,18.5,26.9,28.2,35.1,42.4,N/A,N/A,64.28571429
St. John's,BE,33,18,49.4,50.2,18.7,19.7,34,27.6,27.7,29.6,N/A,N/A,54.54545455
Wright St.,Horz,31,18,53.5,50.3,17.3,17.2,26.2,26.6,24,27.6,N/A,N/A,58.06451613
Weber St.,BSky,31,18,50.8,52.8,19.2,19.3,21,22.4,33.7,31.7,N/A,N/A,58.06451613
Queens,ASun,30,18,51.2,53,17.6,15.7,29.7,26.1,35.9,25.4,N/A,N/A,60
North Alabama,ASun,30,18,50.7,52.1,15.8,15.1,23.1,27.9,30.1,31.8,N/A,N/A,60
Michigan,B10,34,18,51.6,47.9,15.2,14.4,25.7,25.8,30.8,25.8,N/A,N/A,52.94117647
Western Carolina,SC,31,18,49.1,51,15.7,15.6,25.5,25.2,33.8,34.1,N/A,N/A,58.06451613
Merrimack,NEC,32,18,48.3,49.1,20.7,26,20.5,35.6,34.6,26.9,N/A,N/A,56.25
Colorado,P12,35,18,49,48,19,19.3,30.8,25.1,29.9,31.4,N/A,N/A,51.42857143
Chattanooga,SC,32,18,54,50.9,17.5,15.3,27.3,26.7,32,30.2,N/A,N/A,56.25
Loyola Marymount,WCC,30,19,53.1,51.8,18.3,16.2,30.2,24.6,31.6,34.9,N/A,N/A,63.33333333
Old Dominion,SB,30,19,46.4,48.3,17.1,17.7,32.8,29,36.2,34.7,N/A,N/A,63.33333333
UNLV,MWC,31,19,49.2,52.4,17.5,24.7,27.9,31,35.5,31,N/A,N/A,61.29032258
Stephen F. Austin,WAC,29,19,51.5,51.4,21.3,23.8,31.6,32.2,38.9,41.8,N/A,N/A,65.51724138
South Dakota St.,Sum,31,19,51.7,50.9,17.1,17.3,21.5,26,28.1,23.1,N/A,N/A,61.29032258
Wake Forest,ACC,33,19,54.2,51.6,17.1,17.3,24.8,26.6,32.1,26.7,N/A,N/A,57.57575758
Middle Tennessee,CUSA,31,19,51.2,51.6,19.3,21.8,31.9,29.2,29.4,34.6,N/A,N/A,61.29032258
Ohio,MAC,32,19,52.4,51.6,16.2,17.6,32.8,28.9,27.5,33.9,N/A,N/A,59.375
St. Thomas,Sum,31,19,51.8,51.9,15.1,17.3,24,28.8,30.7,31,N/A,N/A,61.29032258
SIU Edwardsville,OVC,30,19,48.5,49,18.5,19.2,30.6,29.4,40.3,34.6,N/A,N/A,63.33333333
Tennessee Martin,OVC,29,19,50.4,49.6,16.8,16.8,27,29,36.1,34,N/A,N/A,65.51724138
Rutgers,B10,34,19,47.9,46.6,17.1,21.7,32.1,27.9,28.2,27.4,N/A,N/A,55.88235294
UCF,Amer,34,19,50.3,48,19.6,21.9,33.6,30.7,28.9,33.4,N/A,N/A,55.88235294
Virginia Tech,ACC,34,19,54,50.7,14.7,16.3,25.9,27.7,25.9,25.2,N/A,N/A,55.88235294
BYU,WCC,32,19,51.5,49.5,20.2,18.5,31.8,24.1,32.5,37.8,N/A,N/A,59.375
South Alabama,SB,33,19,52.8,46.6,14.6,16.1,20.9,28.4,22.3,28.3,N/A,N/A,57.57575758
Rice,CUSA,32,19,53.1,54.7,18,16.1,24.1,26.6,32.5,25.7,N/A,N/A,59.375
Tulane,Amer,31,20,52.4,50.4,15.1,19.3,19.3,30.5,35.4,29.6,N/A,N/A,64.51612903
Quinnipiac,MAAC,31,20,49.9,48.1,18.1,16.5,32.2,27.6,33,27.1,N/A,N/A,64.51612903
UNC Greensboro,SC,30,20,50.6,47.8,17.8,19.3,29.2,26.5,32.4,31.4,N/A,N/A,66.66666667
Seattle,WAC,30,20,46.3,48.8,16.9,17.8,29.9,26.6,32.4,33.3,N/A,N/A,66.66666667
Longwood,BSth,30,20,50.2,51.2,17.8,21.5,32.1,26.9,33.6,33.5,N/A,N/A,66.66666667
Ball St.,MAC,30,20,53,51,17.8,16.7,30.5,28.4,42.3,31.3,N/A,N/A,66.66666667
North Carolina,ACC,33,20,49.2,48.7,15.2,14.9,30.4,23.3,37,26.3,N/A,N/A,60.60606061
Cal St. Fullerton,BW,31,20,49.4,48.6,17.4,20.5,25.9,29.4,38.7,33.4,N/A,N/A,64.51612903
Duquesne,A10,33,20,51.1,50.5,17.3,20.8,33.4,33.1,26.4,35.1,N/A,N/A,60.60606061
Troy,SB,30,20,49.4,48.6,18.7,21.1,30.3,30.1,32.5,34.6,N/A,N/A,66.66666667
George Mason,A10,33,20,51.9,47.9,20.2,16.9,27.9,24.8,37.1,33,N/A,N/A,60.60606061
Lipscomb,ASun,30,20,53.7,50.2,17.3,15.6,25,24.6,23.6,23.3,N/A,N/A,66.66666667
San Francisco,WCC,33,20,53.6,49.9,19.6,17.6,28.5,26.5,32.2,38.1,N/A,N/A,60.60606061
Wisconsin,B10,35,20,48.3,50.2,13.4,18.3,22.6,24.9,25,27.5,N/A,N/A,57.14285714
Oklahoma St.,B12,36,20,48.8,45.6,20.6,18.9,32.6,28.2,32.5,30.4,N/A,N/A,55.55555556
Belmont,MVC,31,21,55.3,51.1,16.8,17.7,25.4,30,24.3,29.3,N/A,N/A,67.74193548
Samford,SC,28,21,53.6,51.9,17.9,19.8,28.2,27,41,37.6,N/A,N/A,75
Saint Louis,A10,32,21,52.1,48.3,17.3,15.3,29.7,26.5,29.1,32.7,N/A,N/A,65.625
Towson,CAA,33,21,51.1,48.6,18.4,17.7,35.7,26.7,29.8,29.5,N/A,N/A,63.63636364
San Jose St.,MWC,34,21,50.2,48.4,18.7,13.2,34.7,24.6,27.2,28.6,N/A,N/A,61.76470588
Cleveland St.,Horz,33,21,49.4,48.4,17.2,20.4,34.9,35.5,29.7,30.3,N/A,N/A,63.63636364
Oregon,P12,36,21,51.1,47.1,18.3,16.4,32.5,26.4,32,23.9,N/A,N/A,58.33333333
Radford,BSth,34,21,51.3,52.2,18.3,20.2,30.9,27.9,27.4,32.3,N/A,N/A,61.76470588
Yale,Ivy,28,21,52.8,47,16.5,18.4,28,23.2,30.6,33.9,N/A,N/A,75
Akron,MAC,31,22,51.9,49.7,16.6,17.8,29.8,26.5,33.7,28,N/A,N/A,70.96774194
James Madison,SB,30,22,51.5,49.4,18.6,21.4,31.3,27.6,38.9,31.8,N/A,N/A,73.33333333
Hawaii,BW,32,22,48.6,44.5,18.6,16.4,29.6,26.5,33.6,27.2,N/A,N/A,68.75
Norfolk St.,MEAC,29,22,52.2,50.2,19.8,19,33.4,30.6,39.5,36.3,N/A,N/A,75.86206897
Northwestern St.,Slnd,32,22,51.3,51,17.3,21,33.3,33.6,27.2,38.7,N/A,N/A,68.75
New Mexico,MWC,33,22,52.6,50.5,15.6,17.5,27.9,27.3,39.1,28.5,N/A,N/A,66.66666667
Dayton,A10,34,22,53,45,18.8,16.1,30.7,27,35.5,23.9,N/A,N/A,64.70588235
UC Riverside,BW,33,22,50.5,51.3,18,17.2,31.8,22.9,26.2,38,N/A,N/A,66.66666667
Morehead St.,OVC,30,22,49,49.8,18.3,15.4,26.6,24.7,34.7,27.5,N/A,N/A,73.33333333
Milwaukee,Horz,31,22,51.4,48.2,21.3,17.6,32.5,32.8,31.9,29.3,N/A,N/A,70.96774194
Charlotte,CUSA,36,22,55.1,50.2,17,17.8,22.3,24.4,24.9,24,N/A,N/A,61.11111111
Vanderbilt,SEC,37,22,49.6,48.6,16,15.3,30.8,31.9,31.6,31.2,N/A,N/A,59.45945946
Santa Clara,WCC,32,23,52.4,50.8,17.4,16.7,30.2,24.4,30.6,25.4,N/A,N/A,71.875
Southern Illinois,MVC,32,23,51.7,47.6,19.3,19.6,22.8,27.3,30.6,29.8,N/A,N/A,71.875
Clemson,ACC,34,23,54.1,47.3,16.1,16.4,23.4,24.3,30.5,30.7,N/A,N/A,67.64705882
Eastern Washington,BSky,33,23,56.2,50.2,19.9,16.2,28,25.8,31.5,29.4,N/A,N/A,69.6969697
UC Irvine,BW,33,23,51.5,45.8,17.5,17.5,27.4,27,29.3,36.9,N/A,N/A,69.6969697
Cincinnati,Amer,35,23,51.3,47.7,15.2,16.9,30.8,27.4,25.7,29.1,N/A,N/A,65.71428571
Indiana St.,MVC,35,23,56.4,48.2,17,17.2,21.4,22.8,31.5,30.4,N/A,N/A,65.71428571
Eastern Kentucky,ASun,34,23,48.6,50.6,16.7,18.6,33.4,29.3,24.3,25.4,N/A,N/A,67.64705882
Youngstown St.,Horz,32,24,54.7,51.3,15.6,17.9,30.6,29.2,29.4,26.2,N/A,N/A,75
UNC Wilmington,CAA,32,24,48.9,49.2,18.6,20.7,27.8,28,39.7,37.6,N/A,N/A,75
Southern Utah,WAC,33,24,52,51.5,18.6,17.5,27.9,26.1,39.5,31.4,N/A,N/A,72.72727273
Marshall,SB,31,24,52.6,47.7,15.5,20.1,31.7,32.6,26.2,28,N/A,N/A,77.41935484
Grambling St.,SWAC,31,24,50,44.6,21.2,21,31.5,31.6,41.5,41.1,N/A,N/A,77.41935484
Hofstra,CAA,34,25,55.1,46.8,15.9,18.5,23.6,31.7,20.9,25.3,N/A,N/A,73.52941176
Bradley,MVC,34,25,52.7,46.7,17.9,18.9,29.2,23.8,26.8,32.1,N/A,N/A,73.52941176
Southern Miss,SB,30,25,50.9,47.8,18,19.9,30.8,29.4,32.2,30.2,N/A,N/A,83.33333333
Fordham,A10,33,25,48.6,47,19.1,19.3,29.9,25.2,37.6,37.4,N/A,N/A,75.75757576
Sam Houston St.,WAC,30,26,50.7,49,19.9,23.1,30.5,24.9,32.3,37.6,N/A,N/A,86.66666667
UMass Lowell,AE,32,26,53.5,47,20,19.7,35.7,27,33.8,33.9,N/A,N/A,81.25
Toledo,MAC,34,27,56.3,52.9,13.6,18.3,29.8,30.9,34.4,27.5,N/A,N/A,79.41176471
Liberty,ASun,33,27,55.5,49.3,16,18.9,25.3,20.2,26.2,27.8,N/A,N/A,81.81818182
Utah Valley,WAC,34,28,51.7,44,19.3,16.3,28.9,29.1,35.6,28.7,N/A,N/A,82.35294118
UAB,CUSA,38,29,50.3,47.3,17.3,19.3,35.8,29.3,35.7,28.9,N/A,N/A,76.31578947
North Texas,CUSA,36,31,51.2,44.5,19.8,19.9,33.4,28.6,31,40.2,N/A,N/A,86.11111111
