TEAM,CONF,G,W,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,POSTSEASON,SEED,Win PCT
Texas A&M Corpus Chris,Slnd,31,24,50.5,52.6,17.7,20.4,32.8,27.8,34.8,38.2,R64,16,77.41935484
Texas Southern,SWAC,33,14,46.1,49.6,20.3,18.5,29.2,27.5,34.3,38.8,R68,16,42.42424242
Southeast Missouri St.,OVC,34,19,50.1,51.3,17.3,19,25,28.3,38.2,44.1,R68,16,55.88235294
LIU Brooklyn,NEC,27,3,45.6,55.1,22.7,16.7,24.7,30.3,31.7,32.1,N/A,N/A,11.11111111
California,P12,32,3,43.7,51.6,20.1,16,25.3,30.4,31.5,32.6,N/A,N/A,9.375
Green Bay,Horz,32,3,46,54.8,21.1,16.1,21.7,32.4,31.5,31.6,N/A,N/A,9.375
Louisville,ACC,32,4,48,54.1,22.3,15.2,28.2,30.1,32.9,30.6,N/A,N/A,12.5
Hartford,ind,25,5,47.7,55.4,22.7,17.6,25.2,33.5,24.1,27.7,N/A,N/A,20
Tulsa,Amer,30,5,47.9,53.6,19.1,17,24.9,33,26.7,27.8,N/A,N/A,16.66666667
South Carolina St.,MEAC,30,5,46.9,57.7,20.9,21,34.2,34.5,29.2,43.5,N/A,N/A,16.66666667
Presbyterian,BSth,30,5,47.3,54,20.8,18.4,29.9,29.5,36.5,39.1,N/A,N/A,16.66666667
Evansville,MVC,32,5,45.1,55.8,17.6,18.9,20.7,25.5,29.4,30.1,N/A,N/A,15.625
Mississippi Valley St.,SWAC,32,5,45.4,53.3,23.4,19.5,28.7,32.4,38,39.8,N/A,N/A,15.625
IUPUI,Horz,30,5,49.7,55,23.2,16.7,29,31.9,32.2,36,N/A,N/A,16.66666667
Delaware St.,MEAC,27,6,45.7,54.4,23.5,19,30.1,29.4,29.3,37,N/A,N/A,22.22222222
Columbia,Ivy,27,7,45.5,52,19.9,17.6,25.3,30.9,28.1,28.8,N/A,N/A,25.92592593
Florida A&M,SWAC,27,7,45,51.1,24,18,27.6,33.6,31.4,44.6,N/A,N/A,25.92592593
NJIT,AE,29,7,48.3,52.3,16,14.9,23.4,29.1,28.2,27.9,N/A,N/A,24.13793103
Georgetown,BE,32,7,47.1,53.6,17.5,15.9,28.9,30,29.1,24.5,N/A,N/A,21.875
